time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,train/value_loss,train/clip_range,train/approx_kl,train/n_updates,train/entropy_loss,train/explained_variance,train/learning_rate,train/std,train/policy_gradient_loss,train/loss,train/clip_fraction
4096,18.0,1,1,3324,-1.4189643859863281,,,,,,,,,,,
8192,18.88,2,2,3040,-1.0550472736358643,1.0830585367977619,0.2,0.024069216,10,-25.558897078037262,-0.07226681709289551,0.0003,1.0014090538024902,-0.049087464716285466,0.23665812611579895,0.244189453125
12288,18.38,4,3,2981,-0.23312368988990784,0.9364592745900154,0.2,0.024195671,20,-25.553383934497834,0.09982103109359741,0.0003,1.0001180171966553,-0.051135889429133385,0.17685964703559875,0.2552978515625
16384,20.13,5,4,2966,-1.0105758905410767,0.9018419314175844,0.2,0.024271986,30,-25.514405596256257,0.038605570793151855,0.0003,0.9978892207145691,-0.05107406781608006,0.21887317299842834,0.2590576171875
20480,18.89,6,5,2970,-1.0393617153167725,0.9033420357853175,0.2,0.02409017,40,-25.479073178768157,0.11825162172317505,0.0003,0.996052622795105,-0.05517666165833361,0.17984068393707275,0.2593994140625
24576,20.86,8,6,2971,0.9244741201400757,0.7128840420395136,0.2,0.02586746,50,-25.48092951774597,0.06232094764709473,0.0003,0.9968699216842651,-0.056756152893649416,0.10463660955429077,0.2739013671875
28672,21.17,9,7,2962,0.7245636582374573,0.6759752320125699,0.2,0.024483103,60,-25.49200792312622,0.10408979654312134,0.0003,0.9974575042724609,-0.057860858463391195,0.05474649369716644,0.27724609375
32768,23.46,11,8,2931,0.33376002311706543,0.6641004076227546,0.2,0.02571926,70,-25.49460117816925,0.11867767572402954,0.0003,0.9974242448806763,-0.056881522678304465,0.06100305914878845,0.2846923828125
36864,23.75,12,9,2926,0.8740093111991882,0.7517852736636996,0.2,0.023773927,80,-25.483738279342653,0.1386258602142334,0.0003,0.9963276982307434,-0.05558317230315879,0.32106250524520874,0.272119140625
40960,23.73,14,10,2922,0.3696816563606262,0.6273211041465402,0.2,0.024246812,90,-25.46578859090805,0.11058974266052246,0.0003,0.995620846748352,-0.061131319499691014,0.08291761577129364,0.2740234375
45056,27.59,15,11,2914,1.715084433555603,0.9296769354492426,0.2,0.023648996,100,-25.439198088645934,0.1022791862487793,0.0003,0.9936242699623108,-0.05381669020280242,0.10591176152229309,0.2628662109375
49152,30.57,16,12,2908,2.8241515159606934,0.6226034102961421,0.2,0.024351703,110,-25.41630300283432,0.12007272243499756,0.0003,0.9926930665969849,-0.06085221903049387,0.05966860055923462,0.28486328125
53248,34.81,18,13,2898,3.373441696166992,0.5998518750071525,0.2,0.026960973,120,-25.398476207256316,0.10103988647460938,0.0003,0.9916497468948364,-0.0638978355913423,0.05216382443904877,0.3044189453125
57344,35.9,19,14,2893,3.623460292816162,0.6455601755529642,0.2,0.025809048,130,-25.35769385099411,0.14721477031707764,0.0003,0.9887146353721619,-0.06315431822149549,0.047763973474502563,0.3018310546875
61440,34.73,21,15,2891,2.0492143630981445,0.581778397038579,0.2,0.025328297,140,-25.322694087028502,0.1415155529975891,0.0003,0.987433671951294,-0.06398243186704348,0.06506748497486115,0.2934326171875
